product_id,product_name,category,price,stock_quantity,last_restocked,location
1,Laptop Pro 15,Electronics,1299.99,45,2025-10-10,New York
2,Wireless Mouse,Electronics,29.99,120,2025-10-15,Chicago
3,Office Chair,Furniture,249.99,30,2025-10-20,Los Angeles
4,Standing Desk,Furniture,599.99,15,2025-11-01,San Francisco
5,USB-C Hub,Electronics,49.99,80,2025-11-05,New York
6,Monitor 27",Electronics,399.99,25,2025-11-10,Chicago
7,Desk Lamp,Furniture,79.99,60,2025-11-15,Houston
8,Keyboard Mechanical,Electronics,129.99,55,2025-11-20,Phoenix
9,Webcam HD,Electronics,79.99,40,2025-11-25,New York
10,Laptop Stand,Electronics,39.99,75,2025-12-01,Dallas
11,Ergonomic Mouse Pad,Electronics,19.99,100,2025-12-05,Seattle
12,Conference Speaker,Electronics,149.99,35,2025-12-10,Chicago
13,Bookshelf Modular,Furniture,199.99,20,2025-12-15,Austin
14,Filing Cabinet,Furniture,179.99,25,2025-12-20,San Diego
15,HDMI Cable 6ft,Electronics,12.99,200,2025-12-25,New York
16,Surge Protector,Electronics,34.99,90,2026-01-01,Los Angeles
17,Office Desk Mat,Furniture,24.99,65,2026-01-05,Chicago
18,Monitor Arm,Electronics,89.99,30,2026-01-10,Denver
19,External SSD 1TB,Electronics,99.99,50,2026-01-15,San Francisco
20,Noise Cancelling Headphones,Electronics,249.99,40,2026-01-20,New York
21,Desk Organizer,Furniture,29.99,85,2026-01-25,Phoenix
22,Wireless Charger,Electronics,39.99,70,2026-02-01,Seattle
23,Cable Management Box,Electronics,19.99,110,2026-02-05,Dallas
24,Executive Chair,Furniture,799.99,10,2026-02-10,San Francisco
25,Laptop Backpack,Electronics,59.99,45,2026-02-15,Austin
26,Blue Light Glasses,Electronics,29.99,95,2026-02-20,Chicago
27,Document Scanner,Electronics,199.99,20,2026-02-25,New York
28,Whiteboard Magnetic,Furniture,89.99,35,2026-03-01,Houston
29,USB Flash Drive 64GB,Electronics,14.99,150,2026-03-05,Los Angeles
30,Adjustable Footrest,Furniture,49.99,55,2026-03-10,San Diego
31,Wireless Presenter,Electronics,39.99,60,2026-03-15,Denver
32,Privacy Screen Filter,Electronics,44.99,40,2026-03-20,Seattle
